Monitoring CPU utilization of the entire machine every 1 second(s). Press Ctrl+C to stop.
--------------------------------------------------
Total CPU Utilization: 81.70%
Total CPU Utilization: 60.80%
Total CPU Utilization: 60.20%
Total CPU Utilization: 71.40%
Total CPU Utilization: 95.40%
Total CPU Utilization: 144.90%
Total CPU Utilization: 171.00%
Total CPU Utilization: 274.90%
Total CPU Utilization: 347.90%
Total CPU Utilization: 232.40%
Total CPU Utilization: 343.90%
Total CPU Utilization: 347.90%
Total CPU Utilization: 350.70%
Total CPU Utilization: 349.80%
Total CPU Utilization: 336.20%
Total CPU Utilization: 372.40%
Total CPU Utilization: 360.00%
Total CPU Utilization: 352.30%
Total CPU Utilization: 351.80%
Total CPU Utilization: 336.70%
Total CPU Utilization: 355.20%
Total CPU Utilization: 351.10%
Total CPU Utilization: 341.30%
Total CPU Utilization: 332.70%
Total CPU Utilization: 343.20%
Total CPU Utilization: 331.50%
Total CPU Utilization: 351.30%
Total CPU Utilization: 338.20%
Total CPU Utilization: 166.70%
Total CPU Utilization: 243.30%
Total CPU Utilization: 345.80%
Total CPU Utilization: 332.50%
Total CPU Utilization: 356.60%
Total CPU Utilization: 340.70%
Total CPU Utilization: 328.50%
Total CPU Utilization: 242.70%
Total CPU Utilization: 139.40%
Total CPU Utilization: 261.10%
Total CPU Utilization: 345.80%
Total CPU Utilization: 238.20%
Total CPU Utilization: 232.50%
Total CPU Utilization: 349.70%
Total CPU Utilization: 266.00%
Total CPU Utilization: 166.40%
Total CPU Utilization: 194.50%
Total CPU Utilization: 363.90%
Total CPU Utilization: 292.20%
Total CPU Utilization: 158.10%
Total CPU Utilization: 281.80%
Total CPU Utilization: 353.40%
Total CPU Utilization: 231.30%
Total CPU Utilization: 179.80%
Total CPU Utilization: 359.10%
Total CPU Utilization: 289.70%
Total CPU Utilization: 151.10%
Total CPU Utilization: 209.60%
Total CPU Utilization: 346.70%
Total CPU Utilization: 289.00%
Total CPU Utilization: 161.30%
Total CPU Utilization: 223.90%
Total CPU Utilization: 349.10%
Total CPU Utilization: 261.50%
Total CPU Utilization: 165.10%
Total CPU Utilization: 306.60%
Total CPU Utilization: 335.80%
Total CPU Utilization: 195.80%
Total CPU Utilization: 161.90%
Total CPU Utilization: 376.80%
Total CPU Utilization: 296.30%
Total CPU Utilization: 163.80%
Total CPU Utilization: 161.60%
Total CPU Utilization: 304.00%
Total CPU Utilization: 334.70%
Total CPU Utilization: 170.90%
Total CPU Utilization: 153.20%
Total CPU Utilization: 242.60%
Total CPU Utilization: 335.40%
Total CPU Utilization: 331.40%
Total CPU Utilization: 335.90%
Total CPU Utilization: 256.60%
Total CPU Utilization: 163.30%
Total CPU Utilization: 196.00%
Total CPU Utilization: 352.10%
Total CPU Utilization: 289.70%
Total CPU Utilization: 179.90%
Total CPU Utilization: 340.20%
Total CPU Utilization: 336.10%
Total CPU Utilization: 180.00%
Total CPU Utilization: 251.10%
Total CPU Utilization: 330.30%
Total CPU Utilization: 249.10%
Total CPU Utilization: 149.70%
Total CPU Utilization: 248.70%
Total CPU Utilization: 332.10%
Total CPU Utilization: 237.20%
Total CPU Utilization: 174.20%
Total CPU Utilization: 168.80%
Total CPU Utilization: 252.20%
Total CPU Utilization: 212.70%
Total CPU Utilization: 165.60%
Total CPU Utilization: 167.90%
Total CPU Utilization: 140.10%

Stopped monitoring.
