Timestamp,CPU,Memory,IO
2025-04-14 12:50:28,some avg10=2.38 avg60=2.10 avg300=0.58 total=22433612339,"some avg10=0.10 avg60=0.11 avg300=0.07 total=44982192
full avg10=0.05 avg60=0.07 avg300=0.06 total=31576435","some avg10=1.41 avg60=1.67 avg300=0.83 total=4189639800
full avg10=1.04 avg60=1.30 avg300=0.70 total=2194959663"
2025-04-14 12:50:29,some avg10=2.38 avg60=2.10 avg300=0.58 total=22433613661,"some avg10=0.10 avg60=0.11 avg300=0.07 total=44982192
full avg10=0.05 avg60=0.07 avg300=0.06 total=31576435","some avg10=1.41 avg60=1.67 avg300=0.83 total=4189810639
full avg10=1.04 avg60=1.30 avg300=0.70 total=2195125843"
2025-04-14 12:50:30,some avg10=1.95 avg60=2.04 avg300=0.57 total=22433619141,"some avg10=0.08 avg60=0.11 avg300=0.07 total=44982192
full avg10=0.04 avg60=0.07 avg300=0.06 total=31576435","some avg10=3.87 avg60=2.10 avg300=0.93 total=4189947885
full avg10=3.39 avg60=1.72 avg300=0.79 total=2195255995"
2025-04-14 12:50:31,some avg10=1.95 avg60=2.04 avg300=0.57 total=22433621828,"some avg10=0.08 avg60=0.11 avg300=0.07 total=44982192
full avg10=0.04 avg60=0.07 avg300=0.06 total=31576435","some avg10=3.87 avg60=2.10 avg300=0.93 total=4189947885
full avg10=3.39 avg60=1.72 avg300=0.79 total=2195255995"
2025-04-14 12:50:32,some avg10=1.59 avg60=1.97 avg300=0.57 total=22433623246,"some avg10=0.06 avg60=0.10 avg300=0.07 total=44987602
full avg10=0.03 avg60=0.06 avg300=0.06 total=31581584","some avg10=3.17 avg60=2.04 avg300=0.92 total=4189953567
full avg10=2.77 avg60=1.66 avg300=0.79 total=2195261402"
2025-04-14 12:50:33,some avg10=1.59 avg60=1.97 avg300=0.57 total=22433624600,"some avg10=0.06 avg60=0.10 avg300=0.07 total=44987602
full avg10=0.03 avg60=0.06 avg300=0.06 total=31581584","some avg10=3.17 avg60=2.04 avg300=0.92 total=4189953567
full avg10=2.77 avg60=1.66 avg300=0.79 total=2195261402"
2025-04-14 12:50:34,some avg10=1.30 avg60=1.90 avg300=0.56 total=22433638558,"some avg10=0.05 avg60=0.10 avg300=0.07 total=44987602
full avg10=0.02 avg60=0.06 avg300=0.06 total=31581584","some avg10=2.59 avg60=1.97 avg300=0.91 total=4189959666
full avg10=2.27 avg60=1.61 avg300=0.78 total=2195264007"
2025-04-14 12:50:35,some avg10=1.30 avg60=1.90 avg300=0.56 total=22433670604,"some avg10=0.05 avg60=0.10 avg300=0.07 total=44987602
full avg10=0.02 avg60=0.06 avg300=0.06 total=31581584","some avg10=2.59 avg60=1.97 avg300=0.91 total=4189959666
full avg10=2.27 avg60=1.61 avg300=0.78 total=2195264007"
2025-04-14 12:50:36,some avg10=1.79 avg60=1.97 avg300=0.59 total=22433726137,"some avg10=0.04 avg60=0.10 avg300=0.07 total=44987602
full avg10=0.02 avg60=0.06 avg300=0.05 total=31581584","some avg10=2.48 avg60=1.97 avg300=0.92 total=4190199041
full avg10=2.04 avg60=1.59 avg300=0.78 total=2195434864"
2025-04-14 12:50:37,some avg10=1.79 avg60=1.97 avg300=0.59 total=22433914758,"some avg10=0.04 avg60=0.10 avg300=0.07 total=44987602
full avg10=0.02 avg60=0.06 avg300=0.05 total=31581584","some avg10=2.48 avg60=1.97 avg300=0.92 total=4190252012
full avg10=2.04 avg60=1.59 avg300=0.78 total=2195482237"
2025-04-14 12:50:38,some avg10=4.55 avg60=2.46 avg300=0.70 total=22434163871,"some avg10=0.03 avg60=0.09 avg300=0.07 total=44987602
full avg10=0.01 avg60=0.06 avg300=0.05 total=31581584","some avg10=4.03 avg60=2.26 avg300=0.99 total=4190252267
full avg10=3.30 avg60=1.83 avg300=0.84 total=2195482247"
2025-04-14 12:50:39,some avg10=4.55 avg60=2.46 avg300=0.70 total=22434319995,"some avg10=0.03 avg60=0.09 avg300=0.07 total=44987602
full avg10=0.01 avg60=0.06 avg300=0.05 total=31581584","some avg10=4.03 avg60=2.26 avg300=0.99 total=4190252267
full avg10=3.30 avg60=1.83 avg300=0.84 total=2195482247"
2025-04-14 12:50:40,some avg10=6.98 avg60=2.97 avg300=0.82 total=22434535513,"some avg10=0.02 avg60=0.09 avg300=0.07 total=44987602
full avg10=0.01 avg60=0.05 avg300=0.05 total=31581584","some avg10=3.29 avg60=2.19 avg300=0.98 total=4190268959
full avg10=2.70 avg60=1.77 avg300=0.83 total=2195488630"
2025-04-14 12:50:41,some avg10=6.98 avg60=2.97 avg300=0.82 total=22434756636,"some avg10=0.02 avg60=0.09 avg300=0.07 total=44987602
full avg10=0.01 avg60=0.05 avg300=0.05 total=31581584","some avg10=3.29 avg60=2.19 avg300=0.98 total=4190295487
full avg10=2.70 avg60=1.77 avg300=0.83 total=2195492413"
2025-04-14 12:50:42,some avg10=9.88 avg60=3.63 avg300=0.97 total=22434997868,"some avg10=0.02 avg60=0.08 avg300=0.07 total=44987602
full avg10=0.01 avg60=0.05 avg300=0.05 total=31581584","some avg10=3.42 avg60=2.25 avg300=1.01 total=4190460533
full avg10=2.39 avg60=1.75 avg300=0.83 total=2195524051"
2025-04-14 12:50:43,some avg10=9.88 avg60=3.63 avg300=0.97 total=22435221299,"some avg10=0.02 avg60=0.08 avg300=0.07 total=44987602
full avg10=0.01 avg60=0.05 avg300=0.05 total=31581584","some avg10=3.42 avg60=2.25 avg300=1.01 total=4190726886
full avg10=2.39 avg60=1.75 avg300=0.83 total=2195571506"
2025-04-14 12:50:44,some avg10=11.90 avg60=4.20 avg300=1.11 total=22435385875,"some avg10=0.01 avg60=0.08 avg300=0.06 total=44987602
full avg10=0.01 avg60=0.05 avg300=0.05 total=31581584","some avg10=6.24 avg60=2.80 avg300=1.13 total=4190727127
full avg10=2.50 avg60=1.79 avg300=0.85 total=2195571747"
2025-04-14 12:50:45,some avg10=11.90 avg60=4.20 avg300=1.11 total=22435694082,"some avg10=0.01 avg60=0.08 avg300=0.06 total=44987602
full avg10=0.01 avg60=0.05 avg300=0.05 total=31581584","some avg10=6.24 avg60=2.80 avg300=1.13 total=4190727127
full avg10=2.50 avg60=1.79 avg300=0.85 total=2195571747"
