Timestamp,CPU,Memory,IO
2025-04-14 12:53:57,some avg10=0.00 avg60=4.55 avg300=4.91 total=22455735208,"some avg10=0.00 avg60=0.06 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.03 avg300=0.05 total=31753133","some avg10=0.54 avg60=1.33 avg300=1.28 total=4194173195
full avg10=0.48 avg60=0.92 avg300=0.85 total=2197644706"
2025-04-14 12:53:58,some avg10=0.00 avg60=4.55 avg300=4.91 total=22455735972,"some avg10=0.00 avg60=0.06 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.03 avg300=0.05 total=31753133","some avg10=0.54 avg60=1.33 avg300=1.28 total=4194173416
full avg10=0.48 avg60=0.92 avg300=0.85 total=2197644925"
2025-04-14 12:53:59,some avg10=0.00 avg60=4.40 avg300=4.88 total=22455737243,"some avg10=0.00 avg60=0.06 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.03 avg300=0.05 total=31753133","some avg10=0.44 avg60=1.29 avg300=1.27 total=4194173416
full avg10=0.40 avg60=0.89 avg300=0.85 total=2197644925"
2025-04-14 12:54:00,some avg10=0.00 avg60=4.40 avg300=4.88 total=22455757300,"some avg10=0.00 avg60=0.06 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.03 avg300=0.05 total=31753133","some avg10=0.44 avg60=1.29 avg300=1.27 total=4194173703
full avg10=0.40 avg60=0.89 avg300=0.85 total=2197645160"
2025-04-14 12:54:01,some avg10=0.18 avg60=4.29 avg300=4.85 total=22455761750,"some avg10=0.00 avg60=0.05 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.03 avg300=0.05 total=31753133","some avg10=0.36 avg60=1.25 avg300=1.26 total=4194173703
full avg10=0.32 avg60=0.86 avg300=0.84 total=2197645160"
2025-04-14 12:54:02,some avg10=0.18 avg60=4.29 avg300=4.85 total=22455813498,"some avg10=0.00 avg60=0.05 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.03 avg300=0.05 total=31753133","some avg10=0.36 avg60=1.25 avg300=1.26 total=4194185803
full avg10=0.32 avg60=0.86 avg300=0.84 total=2197652088"
2025-04-14 12:54:03,some avg10=0.69 avg60=4.25 avg300=4.84 total=22455857367,"some avg10=0.00 avg60=0.05 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.03 avg300=0.05 total=31753133","some avg10=0.30 avg60=1.20 avg300=1.25 total=4194185803
full avg10=0.26 avg60=0.83 avg300=0.83 total=2197652088"
2025-04-14 12:54:04,some avg10=0.69 avg60=4.25 avg300=4.84 total=22456184749,"some avg10=0.00 avg60=0.05 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.03 avg300=0.05 total=31753133","some avg10=0.30 avg60=1.20 avg300=1.25 total=4194186067
full avg10=0.26 avg60=0.83 avg300=0.83 total=2197652088"
2025-04-14 12:54:05,some avg10=4.19 avg60=4.76 avg300=4.95 total=22456398943,"some avg10=0.00 avg60=0.05 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.03 avg300=0.05 total=31753133","some avg10=0.24 avg60=1.16 avg300=1.25 total=4194200698
full avg10=0.21 avg60=0.80 avg300=0.83 total=2197655744"
2025-04-14 12:54:06,some avg10=4.19 avg60=4.76 avg300=4.95 total=22456564561,"some avg10=0.00 avg60=0.05 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.03 avg300=0.05 total=31753133","some avg10=0.24 avg60=1.16 avg300=1.25 total=4194200953
full avg10=0.21 avg60=0.80 avg300=0.83 total=2197655952"
2025-04-14 12:54:07,some avg10=6.51 avg60=5.16 avg300=5.03 total=22456702376,"some avg10=0.00 avg60=0.05 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.02 avg300=0.05 total=31753133","some avg10=0.20 avg60=1.13 avg300=1.24 total=4194200953
full avg10=0.17 avg60=0.77 avg300=0.82 total=2197655952"
2025-04-14 12:54:08,some avg10=6.51 avg60=5.16 avg300=5.03 total=22456914874,"some avg10=0.00 avg60=0.05 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.02 avg300=0.05 total=31753133","some avg10=0.20 avg60=1.13 avg300=1.24 total=4194201240
full avg10=0.17 avg60=0.77 avg300=0.82 total=2197656051"
2025-04-14 12:54:09,some avg10=8.41 avg60=5.55 avg300=5.11 total=22457084403,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.02 avg300=0.04 total=31753133","some avg10=0.16 avg60=1.09 avg300=1.23 total=4194201240
full avg10=0.14 avg60=0.75 avg300=0.82 total=2197656051"
2025-04-14 12:54:10,some avg10=8.41 avg60=5.55 avg300=5.11 total=22457286120,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.02 avg300=0.04 total=31753133","some avg10=0.16 avg60=1.09 avg300=1.23 total=4194210691
full avg10=0.14 avg60=0.75 avg300=0.82 total=2197659630"
2025-04-14 12:54:11,some avg10=10.14 avg60=5.96 avg300=5.20 total=22457488031,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.02 avg300=0.04 total=31753133","some avg10=0.13 avg60=1.05 avg300=1.22 total=4194210691
full avg10=0.12 avg60=0.72 avg300=0.81 total=2197659630"
2025-04-14 12:54:12,some avg10=10.14 avg60=5.96 avg300=5.20 total=22457662353,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.02 avg300=0.04 total=31753133","some avg10=0.13 avg60=1.05 avg300=1.22 total=4194210970
full avg10=0.12 avg60=0.72 avg300=0.81 total=2197659678"
2025-04-14 12:54:13,some avg10=11.75 avg60=6.39 avg300=5.29 total=22458064937,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.02 avg300=0.04 total=31753133","some avg10=0.10 avg60=1.02 avg300=1.21 total=4194211289
full avg10=0.09 avg60=0.70 avg300=0.80 total=2197659678"
2025-04-14 12:54:14,some avg10=11.75 avg60=6.39 avg300=5.29 total=22458259476,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.02 avg300=0.04 total=31753133","some avg10=0.10 avg60=1.02 avg300=1.21 total=4194211547
full avg10=0.09 avg60=0.70 avg300=0.80 total=2197659760"
2025-04-14 12:54:15,some avg10=14.87 avg60=7.13 avg300=5.45 total=22458435994,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.02 avg300=0.04 total=31753133","some avg10=0.08 avg60=0.98 avg300=1.20 total=4194223170
full avg10=0.08 avg60=0.68 avg300=0.80 total=2197660328"
2025-04-14 12:54:16,some avg10=14.87 avg60=7.13 avg300=5.45 total=22458629345,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.02 avg300=0.04 total=31753133","some avg10=0.08 avg60=0.98 avg300=1.20 total=4194223429
full avg10=0.08 avg60=0.68 avg300=0.80 total=2197660433"
2025-04-14 12:54:17,some avg10=15.44 avg60=7.48 avg300=5.54 total=22458805213,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.02 avg300=0.04 total=31753133","some avg10=0.07 avg60=0.95 avg300=1.19 total=4194223429
full avg10=0.06 avg60=0.65 avg300=0.79 total=2197660433"
2025-04-14 12:54:18,some avg10=15.44 avg60=7.48 avg300=5.54 total=22458968466,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.02 avg300=0.04 total=31753133","some avg10=0.07 avg60=0.95 avg300=1.19 total=4194223688
full avg10=0.06 avg60=0.65 avg300=0.79 total=2197660433"
2025-04-14 12:54:19,some avg10=15.54 avg60=7.76 avg300=5.61 total=22459107100,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.02 avg300=0.04 total=31753133","some avg10=0.05 avg60=0.92 avg300=1.18 total=4194223688
full avg10=0.05 avg60=0.63 avg300=0.79 total=2197660433"
2025-04-14 12:54:20,some avg10=15.54 avg60=7.76 avg300=5.61 total=22459238543,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.02 avg300=0.04 total=31753133","some avg10=0.05 avg60=0.92 avg300=1.18 total=4194234801
full avg10=0.05 avg60=0.63 avg300=0.79 total=2197664318"
2025-04-14 12:54:21,some avg10=15.08 avg60=7.93 avg300=5.66 total=22459415404,"some avg10=0.00 avg60=0.03 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.02 avg300=0.04 total=31753133","some avg10=0.04 avg60=0.89 avg300=1.18 total=4194234801
full avg10=0.04 avg60=0.61 avg300=0.78 total=2197664318"
2025-04-14 12:54:22,some avg10=15.08 avg60=7.93 avg300=5.66 total=22459529164,"some avg10=0.00 avg60=0.03 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.02 avg300=0.04 total=31753133","some avg10=0.04 avg60=0.89 avg300=1.18 total=4194235049
full avg10=0.04 avg60=0.61 avg300=0.78 total=2197664481"
2025-04-14 12:54:23,some avg10=14.88 avg60=8.13 avg300=5.72 total=22459727021,"some avg10=0.00 avg60=0.03 avg300=0.06 total=45239096
full avg10=0.00 avg60=0.02 avg300=0.04 total=31753133","some avg10=0.03 avg60=0.86 avg300=1.17 total=4194235049
full avg10=0.03 avg60=0.59 avg300=0.78 total=2197664481"
2025-04-14 12:54:24,some avg10=14.88 avg60=8.13 avg300=5.72 total=22459748798,"some avg10=0.00 avg60=0.03 avg300=0.06 total=45239139
full avg10=0.00 avg60=0.02 avg300=0.04 total=31753133","some avg10=0.03 avg60=0.86 avg300=1.17 total=4194235462
full avg10=0.03 avg60=0.59 avg300=0.78 total=2197664800"
2025-04-14 12:54:25,some avg10=14.00 avg60=8.19 avg300=5.75 total=22459771730,"some avg10=0.00 avg60=0.03 avg300=0.06 total=45239139
full avg10=0.00 avg60=0.02 avg300=0.04 total=31753133","some avg10=0.03 avg60=0.83 avg300=1.16 total=4194247753
full avg10=0.02 avg60=0.57 avg300=0.77 total=2197675385"
2025-04-14 12:54:26,some avg10=14.00 avg60=8.19 avg300=5.75 total=22459794821,"some avg10=0.00 avg60=0.03 avg300=0.06 total=45239139
full avg10=0.00 avg60=0.02 avg300=0.04 total=31753133","some avg10=0.03 avg60=0.83 avg300=1.16 total=4194248033
full avg10=0.02 avg60=0.57 avg300=0.77 total=2197675545"
2025-04-14 12:54:27,some avg10=11.82 avg60=7.99 avg300=5.72 total=22459832842,"some avg10=0.00 avg60=0.03 avg300=0.06 total=45239139
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753133","some avg10=0.02 avg60=0.80 avg300=1.15 total=4194248033
full avg10=0.02 avg60=0.55 avg300=0.76 total=2197675545"
2025-04-14 12:54:28,some avg10=11.82 avg60=7.99 avg300=5.72 total=22459873252,"some avg10=0.00 avg60=0.03 avg300=0.06 total=45239139
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753133","some avg10=0.02 avg60=0.80 avg300=1.15 total=4194248296
full avg10=0.02 avg60=0.55 avg300=0.76 total=2197675545"
2025-04-14 12:54:29,some avg10=10.22 avg60=7.82 avg300=5.70 total=22459890906,"some avg10=0.00 avg60=0.03 avg300=0.05 total=45239139
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753133","some avg10=0.02 avg60=0.78 avg300=1.14 total=4194248296
full avg10=0.01 avg60=0.53 avg300=0.76 total=2197675545"
2025-04-14 12:54:30,some avg10=10.22 avg60=7.82 avg300=5.70 total=22459916852,"some avg10=0.00 avg60=0.03 avg300=0.05 total=45239139
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753133","some avg10=0.02 avg60=0.78 avg300=1.14 total=4194261379
full avg10=0.01 avg60=0.53 avg300=0.76 total=2197686791"
2025-04-14 12:54:31,some avg10=8.73 avg60=7.63 avg300=5.68 total=22460056598,"some avg10=0.00 avg60=0.03 avg300=0.05 total=45239139
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753133","some avg10=0.01 avg60=0.75 avg300=1.13 total=4194261379
full avg10=0.01 avg60=0.52 avg300=0.75 total=2197686791"
2025-04-14 12:54:32,some avg10=8.73 avg60=7.63 avg300=5.68 total=22460272792,"some avg10=0.00 avg60=0.03 avg300=0.05 total=45239139
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753133","some avg10=0.01 avg60=0.75 avg300=1.13 total=4194261648
full avg10=0.01 avg60=0.52 avg300=0.75 total=2197686791"
2025-04-14 12:54:33,some avg10=10.41 avg60=7.97 avg300=5.76 total=22460475169,"some avg10=0.00 avg60=0.03 avg300=0.05 total=45239139
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753133","some avg10=0.01 avg60=0.73 avg300=1.13 total=4194261648
full avg10=0.01 avg60=0.50 avg300=0.75 total=2197686791"
2025-04-14 12:54:34,some avg10=10.41 avg60=7.97 avg300=5.76 total=22460688264,"some avg10=0.00 avg60=0.03 avg300=0.05 total=45239139
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753133","some avg10=0.01 avg60=0.73 avg300=1.13 total=4194261917
full avg10=0.01 avg60=0.50 avg300=0.75 total=2197686909"
2025-04-14 12:54:35,some avg10=12.15 avg60=8.37 avg300=5.86 total=22460860930,"some avg10=0.00 avg60=0.02 avg300=0.05 total=45239139
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753133","some avg10=0.01 avg60=0.70 avg300=1.12 total=4194283039
full avg10=0.00 avg60=0.48 avg300=0.74 total=2197696796"
2025-04-14 12:54:36,some avg10=12.15 avg60=8.37 avg300=5.86 total=22461083141,"some avg10=0.00 avg60=0.02 avg300=0.05 total=45239141
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753133","some avg10=0.01 avg60=0.70 avg300=1.12 total=4194533624
full avg10=0.00 avg60=0.48 avg300=0.74 total=2197773392"
2025-04-14 12:54:37,some avg10=13.57 avg60=8.75 avg300=5.96 total=22461249414,"some avg10=0.00 avg60=0.02 avg300=0.05 total=45239141
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753133","some avg10=2.54 avg60=1.14 avg300=1.21 total=4194561956
full avg10=0.91 avg60=0.63 avg300=0.77 total=2197792819"
